date,count,total_count,ratio
2024-01-01,189,6791,0.02783095273155647
2024-01-02,323,10032,0.032196969696969696
2024-01-03,276,7956,0.03469079939668175
2024-01-04,121,3466,0.034910559723023656
2024-01-05,500,11449,0.04367193641366058
2024-01-06,315,7020,0.04487179487179487
2024-01-07,288,7433,0.038746132113547695
2024-01-08,432,11773,0.03669413063790028
2024-01-09,503,12637,0.03980375089024294
2024-01-10,477,13136,0.036312423873325214
2024-01-11,499,13552,0.0368211334120425
2024-01-12,550,11850,0.046413502109704644
2024-01-13,285,6873,0.04146660846791794
2024-01-14,297,6715,0.04422933730454207
2024-01-15,471,10140,0.046449704142011834
2024-01-16,556,12426,0.04474488974730404
2024-01-17,517,12461,0.041489447074873606
2024-01-18,558,12673,0.044030616270811965
2024-01-19,505,11511,0.04387107983667796
2024-01-20,222,6358,0.03491664045297263
2024-01-21,372,6505,0.057186779400461185
2024-01-22,521,11113,0.04688203005489067
2024-01-23,614,13747,0.04466429039063068
2024-01-24,713,12999,0.05485037310562351
2024-01-25,561,12650,0.04434782608695652
2024-01-26,535,11489,0.04656628079032118
2024-01-27,283,6569,0.04308113868168671
2024-01-28,338,6357,0.053169734151329244
2024-01-29,561,11052,0.050760043431053205
2024-01-30,605,12605,0.047996826656088856
2024-01-31,635,13138,0.04833307961637997
2024-02-01,566,13489,0.041960115649788715
2024-02-02,564,12596,0.04477611940298507
2024-02-03,343,6338,0.05411801830230357
2024-02-04,341,6469,0.052712938630391094
2024-02-05,557,11873,0.046913164322412194
2024-02-06,687,12739,0.053928879817882094
2024-02-07,573,13033,0.04396531880610757
2024-02-08,676,13077,0.051693813565802556
2024-02-09,649,11594,0.055977229601518026
2024-02-10,334,7024,0.04755125284738041
2024-02-11,382,7138,0.05351639114597927
2024-02-12,593,10928,0.05426427525622255
2024-02-13,694,12468,0.05566249598973372
2024-02-14,566,12691,0.044598534394452764
2024-02-15,585,13345,0.04383664293742975
2024-02-16,624,12303,0.050719336747134844
2024-02-17,294,6698,0.043893699611824426
2024-02-18,268,5825,0.04600858369098713
2024-02-19,369,8688,0.04247237569060774
2024-02-20,508,12254,0.041455851150644686
2024-02-21,629,13130,0.0479055597867479
2024-02-22,542,12699,0.042680526025671316
2024-02-23,569,11818,0.04814689456760873
2024-02-24,370,7040,0.052556818181818184
2024-02-25,376,6380,0.05893416927899686
2024-02-26,573,11147,0.05140396519242846
2024-02-27,669,12501,0.0535157187425006
2024-02-28,696,13070,0.053251721499617446
2024-02-29,686,13328,0.051470588235294115
2024-03-01,580,11349,0.05110582430170059
2024-03-02,288,5921,0.04864043235939875
2024-03-03,305,5592,0.05454220314735336
2024-03-04,525,10237,0.05128455602227215
2024-03-05,627,11752,0.05335262083049694
2024-03-06,837,11823,0.07079421466632835
2024-03-07,688,11756,0.05852330724736305
2024-03-08,839,11374,0.07376472656936874
2024-03-09,360,6171,0.0583373845405931
2024-03-10,294,6679,0.044018565653540946
2024-03-11,501,11331,0.04421498543817845
2024-03-12,702,11917,0.0589074431484434
2024-03-13,675,11878,0.05682774877925577
2024-03-14,596,12268,0.04858167590479296
2024-03-15,472,11225,0.04204899777282851
2024-03-16,185,5657,0.03270284603146544
2024-03-17,218,5546,0.03930760908763072
2024-03-18,392,9820,0.039918533604887986
2024-03-19,524,11257,0.04654881407124456
2024-03-20,573,11509,0.04978712312103571
2024-03-21,490,11933,0.041062599513952906
2024-03-22,373,11001,0.033906008544677756
2024-03-23,225,5716,0.03936319104268719
2024-03-24,181,5504,0.032885174418604654
2024-03-25,351,10170,0.034513274336283185
2024-03-26,487,11190,0.04352100089365505
2024-03-27,431,10887,0.03958850004592633
2024-03-28,469,11143,0.042089203984564304
2024-03-29,406,9026,0.044981165521825836
2024-03-30,249,5533,0.04500271100668715
2024-03-31,186,5184,0.03587962962962963
2024-04-01,371,9363,0.03962405212004699
2024-04-02,550,10907,0.05042633171357844
2024-04-03,543,11231,0.048348321609829936
2024-04-04,521,11432,0.04557382785164451
2024-04-05,599,10739,0.05577800540087532
2024-04-06,263,5710,0.04605954465849387
2024-04-07,243,5550,0.04378378378378378
2024-04-08,486,9534,0.050975456261799876
2024-04-09,465,10841,0.042892722073609446
2024-04-10,561,11767,0.047675703237868614
2024-04-11,499,11430,0.0436570428696413
2024-04-12,529,10506,0.05035217970683419
2024-04-13,249,5725,0.043493449781659387
2024-04-14,346,5434,0.06367316893632684
2024-04-15,522,10555,0.04945523448602558
2024-04-16,500,11469,0.04359577992850292
2024-04-17,478,11516,0.04150746787078847
2024-04-18,565,11620,0.04862306368330465
2024-04-19,459,10226,0.04488558576178369
2024-04-20,290,5875,0.04936170212765958
2024-04-21,261,6019,0.043362684831367335
2024-04-22,509,11159,0.04561340621919527
2024-04-23,502,12130,0.04138499587798846
2024-04-24,763,13038,0.05852124558981439
2024-04-25,591,13226,0.04468471193104491
2024-04-26,418,12127,0.034468541271542835
2024-04-27,234,6683,0.035014215172826574
2024-04-28,344,5999,0.057342890481746955
2024-04-29,419,11313,0.037037037037037035
2024-04-30,499,13033,0.03828742423079874
2024-05-01,467,12699,0.03677454917710056
2024-05-02,588,12968,0.045342381246144356
2024-05-03,458,11456,0.03997905027932961
2024-05-04,218,6276,0.03473550031867431
2024-05-05,213,5953,0.0357802788509995
2024-05-06,497,10949,0.045392273266965016
2024-05-07,512,12911,0.039656107195414764
2024-05-08,568,12878,0.04410622767510483
2024-05-09,552,13227,0.04173281923338625
2024-05-10,405,12436,0.032566741717594085
2024-05-11,212,6369,0.03328623017742189
2024-05-12,262,6054,0.04327717211760819
2024-05-13,482,11749,0.04102476806536726
2024-05-14,520,13305,0.03908305148440436
2024-05-15,704,13208,0.05330102967898243
2024-05-16,650,12888,0.05043451272501552
2024-05-17,485,11341,0.042765188255003965
2024-05-18,237,5856,0.04047131147540984
2024-05-19,281,5929,0.04739416427728116
2024-05-20,519,10928,0.04749267935578331
2024-05-21,558,12438,0.04486251808972504
2024-05-22,585,12817,0.04564250604665678
2024-05-23,577,12633,0.04567402833847859
2024-05-24,447,10951,0.04081819011962378
2024-05-25,255,5985,0.042606516290726815
2024-05-26,217,5443,0.03986772000734889
2024-05-27,220,6939,0.031704856607580344
2024-05-28,408,10947,0.037270485064401206
2024-05-29,462,12020,0.03843594009983361
2024-05-30,627,12624,0.04966730038022814
2024-05-31,775,11949,0.06485898401539877
2024-06-01,311,6097,0.051008692799737576
2024-06-02,286,6027,0.047453127592500415
2024-06-03,532,11095,0.04794952681388013
2024-06-04,698,12308,0.05671108222294443
2024-06-05,678,12586,0.053869378674717944
2024-06-06,763,12589,0.060608467709905474
2024-06-07,598,11559,0.05173457911584047
2024-06-08,338,6206,0.05446342249436029
2024-06-09,335,6369,0.05259852410111478
2024-06-10,536,11069,0.04842352516035776
2024-06-11,703,12114,0.05803202905728909
2024-06-12,631,12583,0.05014702376221886
2024-06-13,623,12599,0.04944836891816811
2024-06-14,537,11221,0.04785669726405846
2024-06-15,276,5859,0.047107014848950336
2024-06-16,294,5990,0.04908180300500835
2024-06-17,497,10672,0.04657046476761619
2024-06-18,560,12261,0.045673272979365465
2024-06-19,417,9962,0.041859064444890584
2024-06-20,467,11841,0.039439236550966976
2024-06-21,503,11161,0.04506764626825553
2024-06-22,199,5761,0.03454261412949141
2024-06-23,269,5930,0.04536256323777403
2024-06-24,570,11110,0.05130513051305131
2024-06-25,606,12151,0.04987243848242943
2024-06-26,656,12227,0.05365175431422262
2024-06-27,866,12814,0.06758233182456688
2024-06-28,1386,11905,0.11642167156656867
2024-06-29,413,6164,0.06700194678780012
2024-06-30,415,6453,0.06431117309778397
2024-07-01,679,11359,0.05977638876661678
2024-07-02,811,11742,0.06906830182251746
2024-07-03,875,11332,0.07721496646664314
2024-07-04,479,7867,0.06088725054023134
2024-07-05,708,9570,0.07398119122257053
2024-07-06,383,5815,0.06586414445399828
