source,count
newsweek.com,7089
dailymail.co.uk,6873
yahoo.com,6321
abcnews.go.com,5834
rawstory.com,4818
independent.co.uk,4792
newsday.com,4302
breitbart.com,4043
theguardian.com,3884
redstate.com,3628
thegatewaypundit.com,3594
dailycaller.com,3526
huffpost.com,3244
seattletimes.com,3089
startribune.com,2760
politicalwire.com,2678
dailykos.com,2563
foxnews.com,2462
benzinga.com,2433
nbcnews.com,2269
bbc.com,2243
nypost.com,2211
apnews.com,2112
pbs.org,1991
pjmedia.com,1957
cbsnews.com,1928
forbes.com,1903
alternet.org,1884
baltimoresun.com,1869
ibtimes.com,1864
ajc.com,1854
inquirer.com,1794
sun-sentinel.com,1658
nytimes.com,1594
realclearpolitics.com,1535
hotair.com,1530
townhall.com,1517
thedailybeast.com,1509
businessinsider.com,1476
arkansasonline.com,1424
chicagotribune.com,1340
latimes.com,1317
inquisitr.com,1310
cnn.com,1288
upi.com,1277
twincities.com,1252
mercurynews.com,1192
newsbusters.org,1164
time.com,1153
sandiegouniontribune.com,1119
theblaze.com,1113
ocregister.com,1058
the-sun.com,1034
salon.com,982
usatoday.com,972
patriotpost.us,966
staradvertiser.com,965
dailysignal.com,939
cleveland.com,802
fortune.com,796
politico.com,752
radaronline.com,748
npr.org,649
theatlantic.com,646
theconversation.com,635
thewrap.com,619
rollingstone.com,618
vanityfair.com,584
rollcall.com,580
spectator.org,567
denverpost.com,545
oann.com,494
theweek.com,476
courant.com,469
thenation.com,454
centralmaine.com,452
slate.com,442
marketwatch.com,439
syracuse.com,410
orlandosentinel.com,392
mlive.com,374
reuters.com,365
csmonitor.com,346
oregonlive.com,338
dailydot.com,323
thehill.com,323
vox.com,313
hollywoodreporter.com,306
motherjones.com,305
newyorker.com,284
nationalmemo.com,280
rttnews.com,260
variety.com,245
tmz.com,240
elnuevodia.com,233
wsj.com,230
pilotonline.com,229
opednews.com,227
stripes.com,220
foxbusiness.com,211
