term,term_count,term_ratio,doc_count,doc_ratio,sample_size
biden,3833,0.7666,3662,0.7324,5000
joe,1558,0.3116,1535,0.307,5000
trump,1340,0.268,1301,0.2602,5000
president,560,0.112,537,0.107,5000
video,453,0.0906,450,0.09,5000
house,344,0.0688,336,0.0672,5000
harris,308,0.0616,307,0.0614,5000
presidential,274,0.0548,274,0.0548,5000
election,266,0.0532,265,0.053,5000
hunter,252,0.0504,248,0.0496,5000
donald,250,0.05,250,0.05,5000
2024,238,0.0476,238,0.0476,5000
primary,234,0.0468,234,0.0468,5000
kamala,218,0.0436,217,0.0434,5000
new,212,0.0424,209,0.0418,5000
wins,204,0.0408,204,0.0408,5000
debate,202,0.0404,199,0.0398,5000
democratic,195,0.039,195,0.039,5000
democrats,194,0.0388,194,0.0388,5000
white,194,0.0388,192,0.0384,5000
campaign,191,0.0382,188,0.0376,5000
race,182,0.0364,182,0.0364,5000
voters,151,0.0302,150,0.03,5000
watch,141,0.0282,141,0.0282,5000
gop,141,0.0282,141,0.0282,5000
calls,139,0.0278,138,0.0276,5000
republicans,122,0.0244,121,0.0242,5000
live,119,0.0238,119,0.0238,5000
impeachment,115,0.023,113,0.0226,5000
down,110,0.022,110,0.022,5000
democrat,109,0.0218,109,0.0218,5000
speech,108,0.0216,107,0.0214,5000
border,107,0.0214,100,0.02,5000
cnn,107,0.0214,107,0.0214,5000
ex,96,0.0192,96,0.0192,5000
obama,92,0.0184,89,0.0178,5000
win,84,0.0168,84,0.0168,5000
claims,82,0.0164,82,0.0164,5000
family,81,0.0162,81,0.0162,5000
report,81,0.0162,81,0.0162,5000
james,80,0.016,80,0.016,5000
day,79,0.0158,76,0.0152,5000
poll,79,0.0158,78,0.0156,5000
republican,79,0.0158,79,0.0158,5000
time,77,0.0154,76,0.0152,5000
tells,77,0.0154,77,0.0154,5000
haley,77,0.0154,77,0.0154,5000
interview,76,0.0152,75,0.015,5000
vote,76,0.0152,72,0.0144,5000
fbi,75,0.015,75,0.015,5000
jordan,74,0.0148,74,0.0148,5000
george,74,0.0148,73,0.0146,5000
former,73,0.0146,73,0.0146,5000
old,73,0.0146,73,0.0146,5000
results,70,0.014,70,0.014,5000
business,70,0.014,70,0.014,5000
u.s.,70,0.014,69,0.0138,5000
informant,70,0.014,70,0.014,5000
jill,70,0.014,70,0.014,5000
taylor,70,0.014,70,0.014,5000
america,68,0.0136,66,0.0132,5000
short,68,0.0136,68,0.0136,5000
back,67,0.0134,66,0.0132,5000
israel,67,0.0134,65,0.013,5000
drop,66,0.0132,66,0.0132,5000
people,66,0.0132,65,0.013,5000
news,66,0.0132,66,0.0132,5000
rep,65,0.013,64,0.0128,5000
clooney,65,0.013,64,0.0128,5000
union,63,0.0126,63,0.0126,5000
media,63,0.0126,63,0.0126,5000
rally,62,0.0124,60,0.012,5000
black,62,0.0124,58,0.0116,5000
cuts,62,0.0124,62,0.0124,5000
lying,61,0.0122,61,0.0122,5000
swift,61,0.0122,61,0.0122,5000
michigan,60,0.012,60,0.012,5000
political,58,0.0116,58,0.0116,5000
step,58,0.0116,57,0.0114,5000
ap,58,0.0116,58,0.0116,5000
party,55,0.011,55,0.011,5000
support,55,0.011,55,0.011,5000
reelection,55,0.011,55,0.011,5000
americans,55,0.011,55,0.011,5000
nikki,52,0.0104,52,0.0104,5000
age,51,0.0102,50,0.01,5000
super,51,0.0102,51,0.0102,5000
host,49,0.0098,48,0.0096,5000
81,49,0.0098,48,0.0096,5000
dem,49,0.0098,49,0.0098,5000
jr,49,0.0098,47,0.0094,5000
big,48,0.0096,48,0.0096,5000
inquiry,48,0.0096,48,0.0096,5000
carolina,48,0.0096,47,0.0094,5000
country,48,0.0096,48,0.0096,5000
charged,47,0.0094,47,0.0094,5000
american,47,0.0094,45,0.009,5000
south,46,0.0092,46,0.0092,5000
man,46,0.0092,46,0.0092,5000
war,46,0.0092,46,0.0092,5000
