date,count,total_count,ratio
2024-01-01,57,6791,0.008393461934913856
2024-01-02,117,10032,0.01166267942583732
2024-01-03,98,7956,0.012317747611865259
2024-01-04,55,3466,0.015868436237738027
2024-01-05,166,11449,0.014499082889335314
2024-01-06,105,7020,0.014957264957264958
2024-01-07,81,7433,0.010897349656935288
2024-01-08,123,11773,0.010447634417735496
2024-01-09,164,12637,0.012977763709741236
2024-01-10,400,13136,0.030450669914738125
2024-01-11,477,13552,0.03519775678866588
2024-01-12,269,11850,0.02270042194092827
2024-01-13,154,6873,0.022406518259857414
2024-01-14,309,6715,0.04601638123603872
2024-01-15,469,10140,0.046252465483234716
2024-01-16,625,12426,0.050297762755512634
2024-01-17,332,12461,0.026643126554851137
2024-01-18,261,12673,0.020594965675057208
2024-01-19,274,11511,0.023803318564851014
2024-01-20,214,6358,0.033658383139351995
2024-01-21,394,6505,0.06056879323597233
2024-01-22,488,11113,0.043912534869072255
2024-01-23,643,13747,0.04677384156543246
2024-01-24,656,12999,0.05046542041695515
2024-01-25,308,12650,0.02434782608695652
2024-01-26,209,11489,0.018191313430237617
2024-01-27,113,6569,0.017202009438270664
2024-01-28,112,6357,0.017618373446594306
2024-01-29,133,11052,0.012034020991675715
2024-01-30,178,12605,0.014121380404601348
2024-01-31,130,13138,0.009894961181306134
2024-02-01,184,13489,0.013640744310178664
2024-02-02,168,12596,0.013337567481740234
2024-02-03,92,6338,0.01451562006942253
2024-02-04,155,6469,0.02396042665017777
2024-02-05,141,11873,0.011875684325781184
2024-02-06,199,12739,0.015621320354815919
2024-02-07,206,13033,0.015806030844778638
2024-02-08,157,13077,0.012005811730519232
2024-02-09,211,11594,0.018199068483698465
2024-02-10,124,7024,0.01765375854214123
2024-02-11,112,7138,0.015690669655365648
2024-02-12,134,10928,0.01226207906295754
2024-02-13,140,12468,0.01122874558870709
2024-02-14,95,12691,0.0074856197305176895
2024-02-15,113,13345,0.00846759085799925
2024-02-16,106,12303,0.008615784767942778
2024-02-17,64,6698,0.00955509107196178
2024-02-18,104,5825,0.017854077253218883
2024-02-19,134,8688,0.015423572744014733
2024-02-20,182,12254,0.014852293128774278
2024-02-21,158,13130,0.012033511043412033
2024-02-22,175,12699,0.013780612646665092
2024-02-23,291,11818,0.02462345574547301
2024-02-24,303,7040,0.043039772727272725
2024-02-25,285,6380,0.04467084639498432
2024-02-26,220,11147,0.019736251906342515
2024-02-27,202,12501,0.016158707303415728
2024-02-28,205,13070,0.01568477429227238
2024-02-29,116,13328,0.008703481392557022
2024-03-01,158,11349,0.013921931447704644
2024-03-02,128,5921,0.021617969937510556
2024-03-03,138,5592,0.02467811158798283
2024-03-04,216,10237,0.02109993162059197
2024-03-05,341,11752,0.029016337644656227
2024-03-06,552,11823,0.046688657701091096
2024-03-07,157,11756,0.01335488261313372
2024-03-08,98,11374,0.008616142078424477
2024-03-09,55,6171,0.008912655971479501
2024-03-10,23,6679,0.0034436292858212305
2024-03-11,39,11331,0.003441885093989939
2024-03-12,72,11917,0.00604178904086599
2024-03-13,72,11878,0.006061626536453949
2024-03-14,30,12268,0.002445386371046625
2024-03-15,54,11225,0.004810690423162583
2024-03-16,16,5657,0.0028283542513699842
2024-03-17,11,5546,0.001983411467724486
2024-03-18,23,9820,0.0023421588594704683
2024-03-19,52,11257,0.004619347961268544
2024-03-20,46,11509,0.0039968720132070555
2024-03-21,26,11933,0.0021788318109444396
2024-03-22,20,11001,0.00181801654395055
2024-03-23,15,5716,0.002624212736179146
2024-03-24,15,5504,0.0027252906976744187
2024-03-25,16,10170,0.0015732546705998034
2024-03-26,21,11190,0.0018766756032171583
2024-03-27,34,10887,0.0031229907228805
2024-03-28,30,11143,0.0026922731759849235
2024-03-29,33,9026,0.0036561045867493907
2024-03-30,20,5533,0.0036146755828664378
2024-03-31,6,5184,0.0011574074074074073
2024-04-01,22,9363,0.0023496742497062907
2024-04-02,31,10907,0.002842211423856239
2024-04-03,33,11231,0.002938295788442703
2024-04-04,41,11432,0.0035864240727781667
2024-04-05,32,10739,0.0029797932768414193
2024-04-06,20,5710,0.0035026269702276708
2024-04-07,4,5550,0.0007207207207207207
2024-04-08,14,9534,0.0014684287812041115
2024-04-09,8,10841,0.0007379393044922055
2024-04-10,9,11767,0.0007648508540834538
2024-04-11,8,11430,0.0006999125109361329
2024-04-12,4,10506,0.0003807348181991243
2024-04-13,9,5725,0.0015720524017467249
2024-04-14,21,5434,0.0038645564961354434
2024-04-15,18,10555,0.0017053529133112268
2024-04-16,13,11469,0.001133490278141076
2024-04-17,8,11516,0.0006946856547412296
2024-04-18,10,11620,0.0008605851979345956
2024-04-19,17,10226,0.0016624291022882848
2024-04-20,3,5875,0.0005106382978723404
2024-04-21,8,6019,0.0013291244392756273
2024-04-22,10,11159,0.0008961376467425397
2024-04-23,9,12130,0.000741962077493817
2024-04-24,47,13038,0.003604847369228409
2024-04-25,30,13226,0.0022682594888855283
2024-04-26,21,12127,0.0017316731260822956
2024-04-27,4,6683,0.0005985335926978902
2024-04-28,12,5999,0.0020003333888981498
2024-04-29,14,11313,0.0012375143640060108
2024-04-30,7,13033,0.0005370981355021868
2024-05-01,7,12699,0.0005512245058666037
2024-05-02,9,12968,0.0006940160394818014
2024-05-03,36,11456,0.0031424581005586594
2024-05-04,3,6276,0.0004780114722753346
2024-05-05,6,5953,0.0010078951789013943
2024-05-06,17,10949,0.0015526532103388438
2024-05-07,20,12911,0.0015490666873208892
2024-05-08,29,12878,0.0022519024693275352
2024-05-09,32,13227,0.0024192938686021016
2024-05-10,27,12436,0.002171116114506272
2024-05-11,31,6369,0.004867326110849427
2024-05-12,18,6054,0.002973240832507433
2024-05-13,23,11749,0.0019576134139075666
2024-05-14,37,13305,0.002780909432544156
2024-05-15,49,13208,0.0037098728043609935
2024-05-16,28,12888,0.0021725636250775914
2024-05-17,17,11341,0.0014989859800723041
2024-05-18,6,5856,0.0010245901639344263
2024-05-19,6,5929,0.0010119750379490638
2024-05-20,28,10928,0.002562225475841874
2024-05-21,23,12438,0.0018491718925872326
2024-05-22,76,12817,0.005929624717172505
2024-05-23,92,12633,0.007282514050502652
2024-05-24,72,10951,0.006574742032691079
2024-05-25,20,5985,0.003341687552213868
2024-05-26,10,5443,0.0018372221201543267
2024-05-27,15,6939,0.00216169476869866
2024-05-28,27,10947,0.002466429158673609
2024-05-29,24,12020,0.0019966722129783694
2024-05-30,19,12624,0.0015050697084917617
2024-05-31,44,11949,0.003682316511841995
2024-06-01,16,6097,0.0026242414302115793
2024-06-02,14,6027,0.0023228803716608595
2024-06-03,19,11095,0.0017124831004957188
2024-06-04,26,12308,0.0021124471888202797
2024-06-05,35,12586,0.0027808676307007787
2024-06-06,22,12589,0.0017475573913734211
2024-06-07,17,11559,0.0014707154598148629
2024-06-08,6,6206,0.0009668063164679343
2024-06-09,3,6369,0.0004710315591144607
2024-06-10,23,11069,0.0020778751468063963
2024-06-11,21,12114,0.001733531451213472
2024-06-12,14,12583,0.0011126122546292617
2024-06-13,24,12599,0.0019049130883403444
2024-06-14,13,11221,0.0011585420194278584
2024-06-15,6,5859,0.0010240655401945725
2024-06-16,13,5990,0.0021702838063439064
2024-06-17,22,10672,0.0020614692653673165
2024-06-18,12,12261,0.0009787129924149743
2024-06-19,15,9962,0.0015057217426219635
2024-06-20,9,11841,0.0007600709399543957
2024-06-21,13,11161,0.0011647701818833438
2024-06-22,16,5761,0.0027772956084013193
2024-06-23,19,5930,0.0032040472175379428
2024-06-24,40,11110,0.0036003600360036
2024-06-25,17,12151,0.0013990618056127068
2024-06-26,28,12227,0.0022900139036558438
2024-06-27,18,12814,0.001404713594506009
2024-06-28,14,11905,0.0011759764804703905
2024-06-29,15,6164,0.0024334847501622323
2024-06-30,19,6453,0.0029443669611033626
2024-07-01,7,11359,0.0006162514305836781
2024-07-02,10,11742,0.000851643672287515
2024-07-03,16,11332,0.0014119308153900459
2024-07-04,7,7867,0.0008897928053896022
2024-07-05,13,9570,0.0013584117032392894
2024-07-06,6,5815,0.0010318142734307824
2024-07-07,3,5573,0.0005383097075183922
