source,count
yahoo.com,2070
nytimes.com,1168
politicalwire.com,755
dailymail.co.uk,752
cbsnews.com,714
rawstory.com,686
independent.co.uk,612
newsweek.com,594
abcnews.go.com,551
foxnews.com,496
nypost.com,411
newsday.com,389
seattletimes.com,385
alternet.org,384
nbcnews.com,379
dailykos.com,370
benzinga.com,359
theguardian.com,354
washingtonpost.com,347
huffpost.com,331
dailycaller.com,306
cnn.com,297
startribune.com,275
politico.com,269
thegatewaypundit.com,254
redstate.com,239
inquisitr.com,238
pbs.org,226
thedailybeast.com,219
sun-sentinel.com,207
latimes.com,201
thehill.com,193
forbes.com,190
breitbart.com,187
baltimoresun.com,180
businessinsider.com,176
ibtimes.com,168
apnews.com,164
npr.org,152
newsbusters.org,148
pjmedia.com,138
realclearpolitics.com,130
vanityfair.com,130
salon.com,127
wsj.com,127
ocregister.com,126
mercurynews.com,124
twincities.com,122
radaronline.com,120
bbc.com,108
theweek.com,106
chicagotribune.com,100
theblaze.com,97
arkansasonline.com,95
cleveland.com,95
thewrap.com,92
centralmaine.com,91
newsone.com,85
theatlantic.com,85
hotair.com,84
time.com,82
townhall.com,78
sandiegouniontribune.com,74
upi.com,73
thenation.com,68
ajc.com,66
spectator.org,61
rollingstone.com,60
nationalmemo.com,59
oann.com,57
denverpost.com,56
slate.com,56
marketwatch.com,53
usatoday.com,52
inquirer.com,51
fortune.com,48
mlive.com,45
staradvertiser.com,44
the-sun.com,43
theconversation.com,41
dailydot.com,40
patriotpost.us,40
syracuse.com,39
talkingpointsmemo.com,38
motherjones.com,37
newyorker.com,37
courant.com,35
uproxx.com,32
rollcall.com,31
vox.com,30
oregonlive.com,29
dailysignal.com,28
csmonitor.com,26
postandcourier.com,26
orlandosentinel.com,24
hollywoodreporter.com,21
foxbusiness.com,19
msnbc.com,19
stltoday.com,19
theroot.com,19
