date,count,total_count,ratio
2024-01-01,13,6791,0.001914298336032985
2024-01-02,34,10032,0.0033891547049441787
2024-01-03,44,7956,0.005530417295123178
2024-01-04,11,3466,0.0031736872475476054
2024-01-05,46,11449,0.004017818150056774
2024-01-06,24,7020,0.003418803418803419
2024-01-07,27,7433,0.003632449885645096
2024-01-08,37,11773,0.003142784337042385
2024-01-09,52,12637,0.0041149006884545385
2024-01-10,64,13136,0.0048721071863581
2024-01-11,26,13552,0.0019185360094451003
2024-01-12,25,11850,0.002109704641350211
2024-01-13,27,6873,0.00392841553906591
2024-01-14,23,6715,0.003425167535368578
2024-01-15,58,10140,0.005719921104536489
2024-01-16,48,12426,0.00386286817962337
2024-01-17,66,12461,0.005296525158494503
2024-01-18,62,12673,0.0048922906967568845
2024-01-19,53,11511,0.004604291547215707
2024-01-20,16,6358,0.0025165146272412707
2024-01-21,44,6505,0.00676402767102229
2024-01-22,110,11113,0.00989831728606137
2024-01-23,111,13747,0.00807448897941369
2024-01-24,95,12999,0.007308254481113932
2024-01-25,32,12650,0.0025296442687747036
2024-01-26,36,11489,0.003133431978414135
2024-01-27,29,6569,0.004414674988582737
2024-01-28,57,6357,0.008966493629070316
2024-01-29,43,11052,0.0038906985161056822
2024-01-30,38,12605,0.003014676715589052
2024-01-31,49,13138,0.0037296392144923122
2024-02-01,46,13489,0.003410186077544666
2024-02-02,68,12596,0.005398539218799619
2024-02-03,70,6338,0.011044493531082361
2024-02-04,38,6469,0.005874169114237131
2024-02-05,40,11873,0.0033689884612145204
2024-02-06,51,12739,0.004003453960279457
2024-02-07,66,13033,0.0050640681347349035
2024-02-08,45,13077,0.0034411562284927736
2024-02-09,99,11594,0.008538899430740038
2024-02-10,42,7024,0.005979498861047836
2024-02-11,36,7138,0.0050434295320818156
2024-02-12,64,10928,0.005856515373352855
2024-02-13,97,12468,0.007779916586461341
2024-02-14,57,12691,0.004491371838310614
2024-02-15,61,13345,0.004571000374672162
2024-02-16,136,12303,0.011054214419247338
2024-02-17,72,6698,0.010749477455957002
2024-02-18,43,5825,0.007381974248927039
2024-02-19,39,8688,0.004488950276243094
2024-02-20,73,12254,0.005957238452750122
2024-02-21,32,13130,0.002437166793602437
2024-02-22,62,12699,0.004882274194818489
2024-02-23,54,11818,0.0045693010661702485
2024-02-24,34,7040,0.004829545454545454
2024-02-25,45,6380,0.007053291536050157
2024-02-26,57,11147,0.00511348344846147
2024-02-27,92,12501,0.007359411247100232
2024-02-28,66,13070,0.0050497322111706195
2024-02-29,52,13328,0.0039015606242496998
2024-03-01,43,11349,0.0037888800775398713
2024-03-02,33,5921,0.00557338287451444
2024-03-03,88,5592,0.015736766809728183
2024-03-04,157,10237,0.015336524372374719
2024-03-05,98,11752,0.008339006126616746
2024-03-06,68,11823,0.005751501311003975
2024-03-07,67,11756,0.00569921742089146
2024-03-08,72,11374,0.006330226833128187
2024-03-09,28,6171,0.004537352130935019
2024-03-10,35,6679,0.005240305434945351
2024-03-11,32,11331,0.0028241108463507194
2024-03-12,27,11917,0.0022656708903247462
2024-03-13,26,11878,0.002188920693719481
2024-03-14,88,12268,0.007173133355070101
2024-03-15,52,11225,0.004632516703786191
2024-03-16,28,5657,0.004949619939897472
2024-03-17,35,5546,0.006310854670032456
2024-03-18,42,9820,0.004276985743380856
2024-03-19,32,11257,0.00284267566847295
2024-03-20,30,11509,0.00260665566078721
2024-03-21,33,11933,0.0027654403754294814
2024-03-22,48,11001,0.00436323970548132
2024-03-23,38,5716,0.006648005598320504
2024-03-24,41,5504,0.007449127906976744
2024-03-25,73,10170,0.007177974434611603
2024-03-26,54,11190,0.00482573726541555
2024-03-27,60,10887,0.005511160099200882
2024-03-28,51,11143,0.00457686439917437
2024-03-29,37,9026,0.0040992687790826505
2024-03-30,22,5533,0.003976143141153081
2024-03-31,17,5184,0.003279320987654321
2024-04-01,39,9363,0.004165331624479333
2024-04-02,45,10907,0.004125790776565509
2024-04-03,36,11231,0.00320541358739204
2024-04-04,55,11432,0.004811056682995102
2024-04-05,47,10739,0.0043765713753608345
2024-04-06,19,5710,0.003327495621716287
2024-04-07,23,5550,0.004144144144144144
2024-04-08,63,9534,0.006607929515418502
2024-04-09,67,10841,0.0061802416751222215
2024-04-10,87,11767,0.0073935582561400525
2024-04-11,65,11430,0.005686789151356081
2024-04-12,100,10506,0.009518370454978107
2024-04-13,27,5725,0.004716157205240175
2024-04-14,14,5434,0.002576370997423629
2024-04-15,27,10555,0.0025580293699668404
2024-04-16,29,11469,0.0025285552358531695
2024-04-17,26,11516,0.0022577283779089963
2024-04-18,42,11620,0.0036144578313253013
2024-04-19,21,10226,0.0020535888910619988
2024-04-20,14,5875,0.0023829787234042553
2024-04-21,12,6019,0.001993686658913441
2024-04-22,35,11159,0.003136481763598889
2024-04-23,51,12130,0.004204451772464963
2024-04-24,63,13038,0.0048320294523699955
2024-04-25,50,13226,0.0037804324814758807
2024-04-26,37,12127,0.003051043126906902
2024-04-27,27,6683,0.004040101750710758
2024-04-28,30,5999,0.005000833472245374
2024-04-29,40,11313,0.0035357553257314594
2024-04-30,57,13033,0.004373513389089235
2024-05-01,77,12699,0.00606346956453264
2024-05-02,72,12968,0.005552128315854411
2024-05-03,41,11456,0.00357891061452514
2024-05-04,21,6276,0.0033460803059273425
2024-05-05,13,5953,0.0021837728876196874
2024-05-06,24,10949,0.002191981002831309
2024-05-07,40,12911,0.0030981333746417784
2024-05-08,27,12878,0.0020965988507532225
2024-05-09,49,13227,0.0037045437362969685
2024-05-10,31,12436,0.002492762946284979
2024-05-11,24,6369,0.0037682524729156855
2024-05-12,15,6054,0.002477700693756194
2024-05-13,43,11749,0.0036598859477402334
2024-05-14,24,13305,0.0018038331454340473
2024-05-15,46,13208,0.0034827377347062386
2024-05-16,79,12888,0.006129733085040347
2024-05-17,67,11341,0.00590776827440261
2024-05-18,33,5856,0.0056352459016393444
2024-05-19,30,5929,0.005059875189745319
2024-05-20,31,10928,0.0028367496339677892
2024-05-21,23,12438,0.0018491718925872326
2024-05-22,43,12817,0.0033549192478739176
2024-05-23,50,12633,0.003957888070925354
2024-05-24,47,10951,0.004291845493562232
2024-05-25,7,5985,0.0011695906432748538
2024-05-26,11,5443,0.0020209443321697594
2024-05-27,29,6939,0.004179276552817409
2024-05-28,57,10947,0.005206906001644286
2024-05-29,74,12020,0.006156405990016639
2024-05-30,59,12624,0.004673637515842839
2024-05-31,52,11949,0.004351828604904176
2024-06-01,14,6097,0.002296211251435132
2024-06-02,6,6027,0.0009955201592832255
2024-06-03,36,11095,0.0032447048219918883
2024-06-04,29,12308,0.0023561910952226194
2024-06-05,48,12586,0.003813761322103925
2024-06-06,39,12589,0.003097942648343792
2024-06-07,31,11559,0.002681892897309456
2024-06-08,24,6206,0.003867225265871737
2024-06-09,28,6369,0.004396294551734966
2024-06-10,66,11069,0.005962598247357485
2024-06-11,93,12114,0.007677067855373947
2024-06-12,77,12583,0.006119367400460939
2024-06-13,69,12599,0.00547662512897849
2024-06-14,88,11221,0.00784243828535781
2024-06-15,71,5859,0.012118108892302441
2024-06-16,49,5990,0.008180300500834724
2024-06-17,45,10672,0.00421664167916042
2024-06-18,41,12261,0.0033439360574178288
2024-06-19,40,9962,0.004015257980325236
2024-06-20,29,11841,0.002449117473186386
2024-06-21,25,11161,0.002239942657467969
2024-06-22,24,5761,0.004165943412601979
2024-06-23,45,5930,0.007588532883642495
2024-06-24,77,11110,0.006930693069306931
2024-06-25,39,12151,0.003209612377582092
2024-06-26,38,12227,0.003107876012104359
2024-06-27,80,12814,0.006243171531137818
2024-06-28,369,11905,0.03099538009239815
2024-06-29,114,6164,0.018494484101232965
2024-06-30,99,6453,0.015341701534170154
2024-07-01,148,11359,0.013029315960912053
2024-07-02,189,11742,0.016096065406234032
2024-07-03,383,11332,0.033798093893399224
2024-07-04,248,7867,0.03152408796237448
2024-07-05,286,9570,0.029885057471264367
2024-07-06,117,5815,0.02012037833190026
2024-07-07,184,5573,0.033016328727794725
2024-07-08,230,10344,0.022235112142304718
2024-07-09,280,11497,0.02435417935113508
2024-07-10,243,12586,0.01930716669315112
2024-07-11,346,11768,0.029401767505098573
2024-07-12,417,11258,0.037040326878664064
