source,count
newsweek.com,5357
dailymail.co.uk,4691
cbsnews.com,4239
foxnews.com,4014
rawstory.com,3756
breitbart.com,3753
nypost.com,3526
independent.co.uk,3225
abcnews.go.com,3120
inquirer.com,2968
politicalwire.com,2844
nytimes.com,2620
cnn.com,2542
redstate.com,2508
theguardian.com,2429
dailycaller.com,2381
thegatewaypundit.com,2373
ajc.com,2297
newsday.com,2194
huffpost.com,2180
yahoo.com,2095
benzinga.com,2046
ibtimes.com,2011
dailykos.com,1912
townhall.com,1838
latimes.com,1816
forbes.com,1769
usatoday.com,1716
alternet.org,1440
thedailybeast.com,1309
nbcnews.com,1300
pjmedia.com,1268
realclearpolitics.com,1257
baltimoresun.com,1237
pbs.org,1137
time.com,1117
bbc.com,1111
apnews.com,1067
newsbusters.org,1048
hotair.com,1047
sun-sentinel.com,1035
businessinsider.com,1021
salon.com,933
rollingstone.com,921
chicagotribune.com,904
mercurynews.com,828
sandiegouniontribune.com,773
startribune.com,767
the-sun.com,762
thewrap.com,761
inquisitr.com,760
npr.org,759
fortune.com,746
twincities.com,716
ocregister.com,680
dailysignal.com,679
thenation.com,658
arkansasonline.com,653
vanityfair.com,638
newsone.com,620
hollywoodreporter.com,606
courant.com,598
patriotpost.us,572
theblaze.com,532
theweek.com,513
seattletimes.com,507
staradvertiser.com,507
spectator.org,497
centralmaine.com,491
cleveland.com,476
orlandosentinel.com,466
theatlantic.com,460
theconversation.com,459
variety.com,430
upi.com,427
mlive.com,415
tmz.com,412
billboard.com,380
oann.com,379
pilotonline.com,376
slate.com,346
thehill.com,345
azcentral.com,340
motherjones.com,327
theroot.com,324
radaronline.com,321
denverpost.com,319
reuters.com,318
foxbusiness.com,315
rollcall.com,300
elnuevodia.com,299
buzzfeed.com,298
dailydot.com,298
marketwatch.com,290
vox.com,279
people.com,275
wsj.com,272
freep.com,270
bostonglobe.com,264
msnbc.com,264
