term,term_count,term_ratio,doc_count,doc_ratio,sample_size
harris,3480,0.696,3439,0.6878,5000
kamala,2856,0.5712,2823,0.5646,5000
trump,1266,0.2532,1239,0.2478,5000
biden,506,0.101,492,0.0984,5000
president,415,0.083,383,0.0766,5000
election,406,0.0812,400,0.08,5000
campaign,365,0.073,359,0.0718,5000
video,289,0.0578,288,0.0576,5000
donald,243,0.0486,242,0.0484,5000
debate,209,0.0418,205,0.041,5000
2024,199,0.0398,199,0.0398,5000
vance,199,0.0398,197,0.0394,5000
vp,194,0.0388,194,0.0388,5000
walz,190,0.038,190,0.038,5000
presidential,181,0.0362,181,0.0362,5000
voters,174,0.0348,173,0.0346,5000
watch,166,0.0332,165,0.033,5000
dnc,163,0.0326,161,0.0322,5000
democrats,161,0.0322,160,0.032,5000
news,159,0.0318,157,0.0314,5000
joe,155,0.031,154,0.0308,5000
vice,152,0.0304,152,0.0304,5000
new,148,0.0296,147,0.0294,5000
rally,139,0.0278,139,0.0278,5000
black,130,0.026,119,0.0238,5000
live,130,0.026,130,0.026,5000
tim,130,0.026,129,0.0258,5000
speech,127,0.0254,127,0.0254,5000
cnn,126,0.0252,126,0.0252,5000
race,120,0.024,120,0.024,5000
day,120,0.024,117,0.0234,5000
interview,113,0.0226,111,0.0222,5000
border,105,0.021,98,0.0196,5000
jd,105,0.021,104,0.0208,5000
democratic,101,0.0202,100,0.02,5000
calls,97,0.0194,97,0.0194,5000
white,93,0.0186,93,0.0186,5000
vote,93,0.0186,89,0.0178,5000
win,93,0.0186,92,0.0184,5000
endorses,87,0.0174,87,0.0174,5000
house,86,0.0172,86,0.0172,5000
running,86,0.0172,86,0.0172,5000
fox,83,0.0166,83,0.0166,5000
support,82,0.0164,81,0.0162,5000
media,75,0.015,74,0.0148,5000
down,74,0.0148,74,0.0148,5000
poll,72,0.0144,72,0.0144,5000
pennsylvania,68,0.0136,67,0.0134,5000
back,66,0.0132,64,0.0128,5000
host,66,0.0132,66,0.0132,5000
taylor,65,0.013,65,0.013,5000
swift,64,0.0128,64,0.0128,5000
abortion,63,0.0126,63,0.0126,5000
america,63,0.0126,62,0.0124,5000
mate,63,0.0126,63,0.0126,5000
wins,62,0.0124,60,0.012,5000
time,62,0.0124,61,0.0122,5000
people,62,0.0124,62,0.0124,5000
ap,62,0.0124,62,0.0124,5000
former,62,0.0124,61,0.0122,5000
endorsement,61,0.0122,61,0.0122,5000
ad,61,0.0122,58,0.0116,5000
lead,60,0.012,60,0.012,5000
party,60,0.012,58,0.0116,5000
wisconsin,60,0.012,60,0.012,5000
endorse,58,0.0116,58,0.0116,5000
convention,57,0.0114,57,0.0114,5000
women,56,0.0112,54,0.0108,5000
polls,56,0.0112,55,0.011,5000
gop,56,0.0112,56,0.0112,5000
americans,55,0.011,55,0.011,5000
night,55,0.011,55,0.011,5000
political,54,0.0108,54,0.0108,5000
claims,54,0.0108,54,0.0108,5000
results,54,0.0108,54,0.0108,5000
michigan,54,0.0108,54,0.0108,5000
pick,53,0.0106,53,0.0106,5000
obama,53,0.0106,52,0.0104,5000
cheney,53,0.0106,52,0.0104,5000
reveals,52,0.0104,52,0.0104,5000
final,51,0.0102,51,0.0102,5000
visit,50,0.01,50,0.01,5000
gov,50,0.01,49,0.0098,5000
democrat,50,0.01,50,0.01,5000
supporters,48,0.0096,48,0.0096,5000
photos,47,0.0094,47,0.0094,5000
week,45,0.009,45,0.009,5000
questions,44,0.0088,43,0.0086,5000
swing,44,0.0088,44,0.0088,5000
nominee,44,0.0088,44,0.0088,5000
victory,43,0.0086,43,0.0086,5000
dems,42,0.0084,42,0.0084,5000
j.d.,42,0.0084,42,0.0084,5000
abc,42,0.0084,42,0.0084,5000
voting,41,0.0082,41,0.0082,5000
candidate,41,0.0082,41,0.0082,5000
arizona,40,0.008,40,0.008,5000
ex,40,0.008,40,0.008,5000
republicans,40,0.008,40,0.008,5000
national,40,0.008,40,0.008,5000
