term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,3919,0.7838,3810,0.762,5000
donald,1339,0.2678,1336,0.2672,5000
biden,679,0.136,670,0.134,5000
haley,401,0.0802,400,0.08,5000
new,382,0.0764,370,0.074,5000
president,371,0.0742,363,0.0726,5000
gop,277,0.0554,276,0.0552,5000
nikki,272,0.0544,272,0.0544,5000
republican,269,0.0538,269,0.0538,5000
primary,240,0.048,240,0.048,5000
trial,238,0.0476,237,0.0474,5000
presidential,235,0.047,235,0.047,5000
ex,223,0.0446,223,0.0446,5000
campaign,222,0.0444,218,0.0436,5000
joe,221,0.0442,219,0.0438,5000
former,198,0.0396,194,0.0388,5000
court,191,0.0382,191,0.0382,5000
election,187,0.0374,184,0.0368,5000
2024,174,0.0348,173,0.0346,5000
wins,160,0.032,159,0.0318,5000
money,138,0.0276,138,0.0276,5000
judge,135,0.027,133,0.0266,5000
hampshire,134,0.0268,134,0.0268,5000
voters,127,0.0254,126,0.0252,5000
debate,127,0.0254,125,0.025,5000
million,126,0.0252,120,0.024,5000
iowa,121,0.0242,120,0.024,5000
live,121,0.0242,120,0.024,5000
jr,120,0.024,119,0.0238,5000
watch,116,0.0232,116,0.0232,5000
legal,115,0.023,111,0.0222,5000
harris,111,0.0222,110,0.022,5000
york,111,0.0222,111,0.0222,5000
hush,108,0.0216,108,0.0216,5000
rally,106,0.0212,105,0.021,5000
fraud,99,0.0198,99,0.0198,5000
desantis,98,0.0196,98,0.0196,5000
calls,97,0.0194,96,0.0192,5000
win,97,0.0194,97,0.0194,5000
carroll,95,0.019,95,0.019,5000
cnn,94,0.0188,94,0.0188,5000
news,92,0.0184,92,0.0184,5000
supreme,91,0.0182,91,0.0182,5000
jean,90,0.018,90,0.018,5000
white,88,0.0176,88,0.0176,5000
house,86,0.0172,86,0.0172,5000
claims,86,0.0172,86,0.0172,5000
republicans,81,0.0162,81,0.0162,5000
race,80,0.016,80,0.016,5000
msnbc,80,0.016,80,0.016,5000
e.,77,0.0154,77,0.0154,5000
video,76,0.0152,76,0.0152,5000
expert,75,0.015,75,0.015,5000
carolina,73,0.0146,73,0.0146,5000
border,73,0.0146,73,0.0146,5000
democrats,70,0.014,70,0.014,5000
south,69,0.0138,68,0.0136,5000
abortion,69,0.0138,69,0.0138,5000
vote,68,0.0136,66,0.0132,5000
endorses,68,0.0136,68,0.0136,5000
day,67,0.0134,66,0.0132,5000
down,65,0.013,65,0.013,5000
vance,65,0.013,64,0.0128,5000
ballot,65,0.013,64,0.0128,5000
assassination,65,0.013,65,0.013,5000
media,63,0.0126,63,0.0126,5000
morning,61,0.0122,61,0.0122,5000
pay,61,0.0122,61,0.0122,5000
attempt,61,0.0122,61,0.0122,5000
black,60,0.012,60,0.012,5000
slams,60,0.012,60,0.012,5000
ruling,60,0.012,60,0.012,5000
fox,59,0.0118,59,0.0118,5000
back,59,0.0118,59,0.0118,5000
party,59,0.0118,59,0.0118,5000
criminal,58,0.0116,58,0.0116,5000
mike,57,0.0114,57,0.0114,5000
time,56,0.0112,56,0.0112,5000
america,56,0.0112,55,0.011,5000
people,55,0.011,54,0.0108,5000
rnc,55,0.011,54,0.0108,5000
speech,55,0.011,55,0.011,5000
super,54,0.0108,53,0.0106,5000
order,54,0.0108,54,0.0108,5000
civil,54,0.0108,54,0.0108,5000
supporters,54,0.0108,54,0.0108,5000
host,54,0.0108,53,0.0106,5000
florida,54,0.0108,53,0.0106,5000
verdict,54,0.0108,54,0.0108,5000
defamation,53,0.0106,53,0.0106,5000
report,53,0.0106,53,0.0106,5000
melania,53,0.0106,53,0.0106,5000
poll,53,0.0106,53,0.0106,5000
gag,52,0.0104,52,0.0104,5000
latest,51,0.0102,51,0.0102,5000
prosecutor,51,0.0102,51,0.0102,5000
political,51,0.0102,51,0.0102,5000
endorse,51,0.0102,50,0.01,5000
attack,50,0.01,50,0.01,5000
maga,50,0.01,50,0.01,5000
